
---- Start ----


--------------------------------------------
optimizer: sgd
pretrained: False
output_dir: results/resnet18_sgd_224to224_lr0.01_NoDA/
verbose: False
learning_rate: 0.01
batch_size: 32
crop_size: 224
steps_best: False
data_augmentation: False
steps_scheduler: True
validation_size: 0.15
epochs: 200
min_learning_rate: 1e-05
plateau_scheduler: False
img_size: 224
model_name: resnet18

-------------- START TRAINING --------------
[2019-09-20 08:00:03] Epoch: 1, LR: 0.01000000, Train Accuracy: 32.3577, Val Accuracy: 34.4463
[2019-09-20 08:02:13] Epoch: 2, LR: 0.01000000, Train Accuracy: 40.3252, Val Accuracy: 30.5411
[2019-09-20 08:04:25] Epoch: 3, LR: 0.01000000, Train Accuracy: 42.5203, Val Accuracy: 47.3990
[2019-09-20 08:06:38] Epoch: 4, LR: 0.01000000, Train Accuracy: 49.1057, Val Accuracy: 30.3026
[2019-09-20 08:08:51] Epoch: 5, LR: 0.01000000, Train Accuracy: 53.3333, Val Accuracy: 51.4682
[2019-09-20 08:11:04] Epoch: 6, LR: 0.01000000, Train Accuracy: 58.6992, Val Accuracy: 30.2877
[2019-09-20 08:13:16] Epoch: 7, LR: 0.01000000, Train Accuracy: 59.0244, Val Accuracy: 32.6576
[2019-09-20 08:15:29] Epoch: 8, LR: 0.01000000, Train Accuracy: 64.8780, Val Accuracy: 40.9599
[2019-09-20 08:17:41] Epoch: 9, LR: 0.01000000, Train Accuracy: 65.9350, Val Accuracy: 62.4534
[2019-09-20 08:19:52] Epoch: 10, LR: 0.01000000, Train Accuracy: 68.9431, Val Accuracy: 65.4047
[2019-09-20 08:22:06] Epoch: 11, LR: 0.01000000, Train Accuracy: 70.8130, Val Accuracy: 44.4179
[2019-09-20 08:24:18] Epoch: 12, LR: 0.01000000, Train Accuracy: 70.8130, Val Accuracy: 65.6283
[2019-09-20 08:26:31] Epoch: 13, LR: 0.01000000, Train Accuracy: 71.4634, Val Accuracy: 55.8802
[2019-09-20 08:28:42] Epoch: 14, LR: 0.01000000, Train Accuracy: 73.9837, Val Accuracy: 68.3858
[2019-09-20 08:30:54] Epoch: 15, LR: 0.01000000, Train Accuracy: 74.7967, Val Accuracy: 30.7348
[2019-09-20 08:33:06] Epoch: 16, LR: 0.01000000, Train Accuracy: 75.2033, Val Accuracy: 65.8667
[2019-09-20 08:35:19] Epoch: 17, LR: 0.01000000, Train Accuracy: 74.7967, Val Accuracy: 53.8083
[2019-09-20 08:37:31] Epoch: 18, LR: 0.01000000, Train Accuracy: 76.9106, Val Accuracy: 51.6023
