
---- Start ----


--------------------------------------------
model_name: resnet18
epochs: 200
data_augmentation: False
plateau_scheduler: False
batch_size: 32
crop_size: 224
min_learning_rate: 1e-05
verbose: False
output_dir: results/resnet18_sgd_224to224_lr0.1_NoDA/
img_size: 224
validation_size: 0.15
pretrained: False
steps_best: False
optimizer: sgd
learning_rate: 0.1
steps_scheduler: True

-------------- START TRAINING --------------
[2019-09-20 08:00:15] Epoch: 1, LR: 0.10000000, Train Accuracy: 24.3089, Val Accuracy: 16.0382
[2019-09-20 08:02:25] Epoch: 2, LR: 0.10000000, Train Accuracy: 28.0488, Val Accuracy: 32.5235
[2019-09-20 08:04:38] Epoch: 3, LR: 0.10000000, Train Accuracy: 31.8699, Val Accuracy: 20.6737
[2019-09-20 08:06:51] Epoch: 4, LR: 0.10000000, Train Accuracy: 31.1382, Val Accuracy: 34.9680
[2019-09-20 08:09:05] Epoch: 5, LR: 0.10000000, Train Accuracy: 34.7967, Val Accuracy: 29.3635
[2019-09-20 08:11:19] Epoch: 6, LR: 0.10000000, Train Accuracy: 39.0244, Val Accuracy: 20.3905
[2019-09-20 08:13:32] Epoch: 7, LR: 0.10000000, Train Accuracy: 40.7317, Val Accuracy: 38.3813
[2019-09-20 08:15:45] Epoch: 8, LR: 0.10000000, Train Accuracy: 41.2195, Val Accuracy: 15.4867
[2019-09-20 08:17:58] Epoch: 9, LR: 0.10000000, Train Accuracy: 44.6341, Val Accuracy: 35.7132
[2019-09-20 08:20:08] Epoch: 10, LR: 0.10000000, Train Accuracy: 41.7886, Val Accuracy: 36.3243
[2019-09-20 08:22:23] Epoch: 11, LR: 0.10000000, Train Accuracy: 45.2033, Val Accuracy: 15.4121
[2019-09-20 08:24:36] Epoch: 12, LR: 0.10000000, Train Accuracy: 44.8780, Val Accuracy: 29.5424
[2019-09-20 08:26:49] Epoch: 13, LR: 0.10000000, Train Accuracy: 47.2358, Val Accuracy: 42.4355
[2019-09-20 08:29:01] Epoch: 14, LR: 0.10000000, Train Accuracy: 50.4878, Val Accuracy: 27.3811
