
---- Start ----

Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
Loaded Class weights!
Weights: [6.626878130217029, 6.4439935064935066, 3.1023837436498636, 43.14673913043478, 20.567357512953368, 16.006048387096776, 6.632414369256474, 21.284182305630026, 25.28343949044586]

--------------------------------------------
output_dir: results/seresnext50_adam_256to224_lr0.00256_DA_pretrained_weightedLoss/
crop_size: 224
verbose: False
min_learning_rate: 1e-07
optimizer: adam
steps_scheduler: True
img_size: 256
pretrained: True
model_name: seresnext50
plateau_scheduler: False
steps_best: False
batch_size: 64
epochs: 200
learning_rate: 0.00256
validation_size: 0.15
data_augmentation: True
weighted_loss: True

-------------- START TRAINING --------------
[2019-09-26 08:34:45] Epoch: 1, LR: 0.00256000, Train Accuracy: 35.6098, Val Accuracy: 13.3403
[2019-09-26 08:36:40] Epoch: 2, LR: 0.00256000, Train Accuracy: 51.1382, Val Accuracy: 22.7754
[2019-09-26 08:38:32] Epoch: 3, LR: 0.00256000, Train Accuracy: 63.0894, Val Accuracy: 56.8639
[2019-09-26 08:40:25] Epoch: 4, LR: 0.00256000, Train Accuracy: 62.1138, Val Accuracy: 70.5172
[2019-09-26 08:42:17] Epoch: 5, LR: 0.00256000, Train Accuracy: 62.4390, Val Accuracy: 50.7378
[2019-09-26 08:44:10] Epoch: 6, LR: 0.00256000, Train Accuracy: 67.3984, Val Accuracy: 33.5669
[2019-09-26 08:46:03] Epoch: 7, LR: 0.00256000, Train Accuracy: 68.3740, Val Accuracy: 72.5742
[2019-09-26 08:47:55] Epoch: 8, LR: 0.00256000, Train Accuracy: 68.8618, Val Accuracy: 69.7123
[2019-09-26 08:49:48] Epoch: 9, LR: 0.00256000, Train Accuracy: 74.3089, Val Accuracy: 80.7423
[2019-09-26 08:51:42] Epoch: 10, LR: 0.00256000, Train Accuracy: 75.6098, Val Accuracy: 59.0401
[2019-09-26 08:53:34] Epoch: 11, LR: 0.00256000, Train Accuracy: 74.7967, Val Accuracy: 69.6825
[2019-09-26 08:55:26] Epoch: 12, LR: 0.00256000, Train Accuracy: 74.7154, Val Accuracy: 65.7177
[2019-09-26 08:57:19] Epoch: 13, LR: 0.00256000, Train Accuracy: 79.1057, Val Accuracy: 70.8302
[2019-09-26 08:59:11] Epoch: 14, LR: 0.00256000, Train Accuracy: 77.2358, Val Accuracy: 85.4971
[2019-09-26 09:01:02] Epoch: 15, LR: 0.00256000, Train Accuracy: 82.1951, Val Accuracy: 84.4388
[2019-09-26 09:02:55] Epoch: 16, LR: 0.00256000, Train Accuracy: 80.7317, Val Accuracy: 43.0765
[2019-09-26 09:04:47] Epoch: 17, LR: 0.00256000, Train Accuracy: 80.4878, Val Accuracy: 74.5417
[2019-09-26 09:06:39] Epoch: 18, LR: 0.00256000, Train Accuracy: 77.0732, Val Accuracy: 51.8706
[2019-09-26 09:08:30] Epoch: 19, LR: 0.00256000, Train Accuracy: 82.4390, Val Accuracy: 76.1812
[2019-09-26 09:10:23] Epoch: 20, LR: 0.00256000, Train Accuracy: 83.0081, Val Accuracy: 81.1596
[2019-09-26 09:12:16] Epoch: 21, LR: 0.00256000, Train Accuracy: 84.7967, Val Accuracy: 85.6014
[2019-09-26 09:14:11] Epoch: 22, LR: 0.00256000, Train Accuracy: 84.3089, Val Accuracy: 82.3372
[2019-09-26 09:16:06] Epoch: 23, LR: 0.00256000, Train Accuracy: 83.2520, Val Accuracy: 82.7992
[2019-09-26 09:17:57] Epoch: 24, LR: 0.00256000, Train Accuracy: 84.1463, Val Accuracy: 71.9183
