
---- Start ----

[Train] 3189 muestras
[Validacion] 586 muestras
Hay 6 clases!
Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])

--------------------------------------------
verbose: False
optimizer: adam
epochs: 200
batch_size: 128
learning_rate: 0.0001
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
damaged_problem: True
img_size: 256
crop_size: 224
model_name: resnet34
pretrained: True
validation_size: 0.15
output_dir: results/resnet34_adam_256to224_lr0.0001_DA_pretrained_OnlyDamaged/
data_augmentation: True

-------------- START TRAINING --------------
[2020-01-14 11:15:49] Epoch: 1, LR: 0.00010000, Train Accuracy: 67.6701%, Val Accuracy: 84.9829%
[2020-01-14 11:16:30] Epoch: 2, LR: 0.00010000, Train Accuracy: 87.3315%, Val Accuracy: 91.6382%
[2020-01-14 11:17:11] Epoch: 3, LR: 0.00010000, Train Accuracy: 91.2198%, Val Accuracy: 92.8328%
[2020-01-14 11:17:53] Epoch: 4, LR: 0.00010000, Train Accuracy: 93.4462%, Val Accuracy: 93.1741%
[2020-01-14 11:18:34] Epoch: 5, LR: 0.00010000, Train Accuracy: 95.3590%, Val Accuracy: 96.2457%
[2020-01-14 11:19:15] Epoch: 6, LR: 0.00010000, Train Accuracy: 95.2336%, Val Accuracy: 95.7338%
[2020-01-14 11:19:56] Epoch: 7, LR: 0.00010000, Train Accuracy: 95.9235%, Val Accuracy: 96.0751%
[2020-01-14 11:20:37] Epoch: 8, LR: 0.00010000, Train Accuracy: 97.2092%, Val Accuracy: 96.2457%
[2020-01-14 11:21:18] Epoch: 9, LR: 0.00010000, Train Accuracy: 97.6482%, Val Accuracy: 96.5870%
[2020-01-14 11:21:59] Epoch: 10, LR: 0.00010000, Train Accuracy: 96.7074%, Val Accuracy: 96.0751%
[2020-01-14 11:22:40] Epoch: 11, LR: 0.00010000, Train Accuracy: 97.1151%, Val Accuracy: 94.7099%
[2020-01-14 11:23:25] Epoch: 12, LR: 0.00010000, Train Accuracy: 98.0245%, Val Accuracy: 96.5870%
[2020-01-14 11:24:06] Epoch: 13, LR: 0.00010000, Train Accuracy: 98.2440%, Val Accuracy: 97.0990%
[2020-01-14 11:24:47] Epoch: 14, LR: 0.00010000, Train Accuracy: 98.2440%, Val Accuracy: 96.2457%
[2020-01-14 11:25:28] Epoch: 15, LR: 0.00010000, Train Accuracy: 98.6516%, Val Accuracy: 97.6109%
[2020-01-14 11:26:09] Epoch: 16, LR: 0.00010000, Train Accuracy: 98.2126%, Val Accuracy: 96.9283%
[2020-01-14 11:26:50] Epoch: 17, LR: 0.00010000, Train Accuracy: 97.4914%, Val Accuracy: 94.3686%
[2020-01-14 11:27:31] Epoch: 18, LR: 0.00010000, Train Accuracy: 98.2440%, Val Accuracy: 94.7099%
[2020-01-14 11:28:12] Epoch: 19, LR: 0.00010000, Train Accuracy: 97.8990%, Val Accuracy: 97.2696%
[2020-01-14 11:28:53] Epoch: 20, LR: 0.00010000, Train Accuracy: 98.4321%, Val Accuracy: 96.9283%
[2020-01-14 11:29:34] Epoch: 21, LR: 0.00010000, Train Accuracy: 99.0279%, Val Accuracy: 97.6109%
[2020-01-14 11:30:15] Epoch: 22, LR: 0.00010000, Train Accuracy: 98.7143%, Val Accuracy: 96.7577%
[2020-01-14 11:30:56] Epoch: 23, LR: 0.00010000, Train Accuracy: 98.8711%, Val Accuracy: 97.6109%
[2020-01-14 11:31:38] Epoch: 24, LR: 0.00010000, Train Accuracy: 98.7457%, Val Accuracy: 97.6109%
[2020-01-14 11:32:19] Epoch: 25, LR: 0.00010000, Train Accuracy: 98.9025%, Val Accuracy: 96.5870%
[2020-01-14 11:32:59] Epoch: 26, LR: 0.00010000, Train Accuracy: 98.9025%, Val Accuracy: 97.2696%
[2020-01-14 11:33:40] Epoch: 27, LR: 0.00010000, Train Accuracy: 98.9338%, Val Accuracy: 97.2696%
[2020-01-14 11:34:21] Epoch: 28, LR: 0.00010000, Train Accuracy: 98.9966%, Val Accuracy: 96.9283%
[2020-01-14 11:35:02] Epoch: 29, LR: 0.00010000, Train Accuracy: 98.9966%, Val Accuracy: 97.4403%
[2020-01-14 11:35:43] Epoch: 30, LR: 0.00010000, Train Accuracy: 99.2474%, Val Accuracy: 96.7577%
[2020-01-14 11:36:24] Epoch: 31, LR: 0.00010000, Train Accuracy: 98.8398%, Val Accuracy: 96.2457%
[2020-01-14 11:37:05] Epoch: 32, LR: 0.00010000, Train Accuracy: 99.3728%, Val Accuracy: 97.7816%
[2020-01-14 11:37:47] Epoch: 33, LR: 0.00010000, Train Accuracy: 99.0593%, Val Accuracy: 97.7816%
