
---- Start ----

[Train] 6709 muestras
[Validacion] 1230 muestras
Hay 1 clases!
Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])

--------------------------------------------
verbose: False
optimizer: adam
epochs: 200
batch_size: 128
learning_rate: 0.0001
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: True
damaged_problem: False
img_size: 256
crop_size: 224
model_name: resnet34
pretrained: True
validation_size: 0.15
output_dir: results/resnet34_adam_256to224_lr0.0001_DA_pretrained_BinaryTrainOK/
data_augmentation: True

-------------- START TRAINING --------------
[2020-01-14 19:48:25] Epoch: 1, LR: 0.00010000, Train Accuracy: 6668.8627%, Val Accuracy: 97.1545%
[2020-01-14 19:49:52] Epoch: 2, LR: 0.00010000, Train Accuracy: 6671.0985%, Val Accuracy: 96.9106%
[2020-01-14 19:51:20] Epoch: 3, LR: 0.00010000, Train Accuracy: 6667.7448%, Val Accuracy: 98.2927%
[2020-01-14 19:52:47] Epoch: 4, LR: 0.00010000, Train Accuracy: 6673.3343%, Val Accuracy: 97.6423%
[2020-01-14 19:54:15] Epoch: 5, LR: 0.00010000, Train Accuracy: 6666.6269%, Val Accuracy: 98.3740%
[2020-01-14 19:55:42] Epoch: 6, LR: 0.00010000, Train Accuracy: 6667.7448%, Val Accuracy: 98.3740%
[2020-01-14 19:57:09] Epoch: 7, LR: 0.00010000, Train Accuracy: 6667.7448%, Val Accuracy: 98.0488%
[2020-01-14 19:58:37] Epoch: 8, LR: 0.00010000, Train Accuracy: 6673.3343%, Val Accuracy: 98.2114%
[2020-01-14 20:00:05] Epoch: 9, LR: 0.00010000, Train Accuracy: 6671.0985%, Val Accuracy: 98.2927%
[2020-01-14 20:01:32] Epoch: 10, LR: 0.00010000, Train Accuracy: 6673.3343%, Val Accuracy: 98.5366%
[2020-01-14 20:03:00] Epoch: 11, LR: 0.00010000, Train Accuracy: 6673.3343%, Val Accuracy: 98.6179%
[2020-01-14 20:04:27] Epoch: 12, LR: 0.00010000, Train Accuracy: 6673.3343%, Val Accuracy: 98.6179%
