
---- Start ----

Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
Loaded Class weights!
Weights: [6.626878130217029, 6.4439935064935066, 3.1023837436498636, 43.14673913043478, 20.567357512953368, 16.006048387096776, 6.632414369256474, 21.284182305630026, 25.28343949044586]

--------------------------------------------
verbose: False
optimizer: adam
epochs: 200
batch_size: 64
learning_rate: 0.001
min_learning_rate: 1e-07
get_path: False
weighted_loss: True
plateau_scheduler: False
steps_best: False
steps_scheduler: True
img_size: 256
crop_size: 224
model_name: bam_resnet50
pretrained: True
validation_size: 0.15
output_dir: results/bam_resnet50_adam_256to224_lr0.001_DA_pretrained_weightedLoss/
data_augmentation: True

-------------- START TRAINING --------------
[2019-10-24 17:13:12] Epoch: 1, LR: 0.00100000, Train Accuracy: 28.7805, Val Accuracy: 19.4515
[2019-10-24 17:14:30] Epoch: 2, LR: 0.00100000, Train Accuracy: 50.4878, Val Accuracy: 34.6848
[2019-10-24 17:15:48] Epoch: 3, LR: 0.00100000, Train Accuracy: 63.1707, Val Accuracy: 59.6065
[2019-10-24 17:17:07] Epoch: 4, LR: 0.00100000, Train Accuracy: 73.2520, Val Accuracy: 76.8818
[2019-10-24 17:18:25] Epoch: 5, LR: 0.00100000, Train Accuracy: 72.9268, Val Accuracy: 72.2462
[2019-10-24 17:19:43] Epoch: 6, LR: 0.00100000, Train Accuracy: 72.0325, Val Accuracy: 77.1650
[2019-10-24 17:21:00] Epoch: 7, LR: 0.00100000, Train Accuracy: 74.5528, Val Accuracy: 74.5417
[2019-10-24 17:22:18] Epoch: 8, LR: 0.00100000, Train Accuracy: 78.3740, Val Accuracy: 81.3832
[2019-10-24 17:23:36] Epoch: 9, LR: 0.00100000, Train Accuracy: 79.3496, Val Accuracy: 81.4577
[2019-10-24 17:24:54] Epoch: 10, LR: 0.00100000, Train Accuracy: 83.0081, Val Accuracy: 74.5715
[2019-10-24 17:26:12] Epoch: 11, LR: 0.00100000, Train Accuracy: 80.8943, Val Accuracy: 82.4415
[2019-10-24 17:27:30] Epoch: 12, LR: 0.00100000, Train Accuracy: 79.7561, Val Accuracy: 73.7219
[2019-10-24 17:28:48] Epoch: 13, LR: 0.00100000, Train Accuracy: 81.7073, Val Accuracy: 63.3477
[2019-10-24 17:30:05] Epoch: 14, LR: 0.00100000, Train Accuracy: 79.2683, Val Accuracy: 76.6731
[2019-10-24 17:31:23] Epoch: 15, LR: 0.00100000, Train Accuracy: 84.5528, Val Accuracy: 74.5864
[2019-10-24 17:32:41] Epoch: 16, LR: 0.00100000, Train Accuracy: 84.7154, Val Accuracy: 79.0878
[2019-10-24 17:33:59] Epoch: 17, LR: 0.00100000, Train Accuracy: 80.4065, Val Accuracy: 64.0930
[2019-10-24 17:35:17] Epoch: 18, LR: 0.00100000, Train Accuracy: 82.8455, Val Accuracy: 85.4226
[2019-10-24 17:36:35] Epoch: 19, LR: 0.00100000, Train Accuracy: 86.1789, Val Accuracy: 85.6611
[2019-10-24 17:37:53] Epoch: 20, LR: 0.00100000, Train Accuracy: 82.2764, Val Accuracy: 78.0295
[2019-10-24 17:39:10] Epoch: 21, LR: 0.00100000, Train Accuracy: 85.1220, Val Accuracy: 80.8764
[2019-10-24 17:40:28] Epoch: 22, LR: 0.00100000, Train Accuracy: 85.8537, Val Accuracy: 79.1027
[2019-10-24 17:41:46] Epoch: 23, LR: 0.00100000, Train Accuracy: 86.5854, Val Accuracy: 82.2179
[2019-10-24 17:43:04] Epoch: 24, LR: 0.00100000, Train Accuracy: 85.8537, Val Accuracy: 87.0025
[2019-10-24 17:44:22] Epoch: 25, LR: 0.00100000, Train Accuracy: 88.4553, Val Accuracy: 84.3494
[2019-10-24 17:45:39] Epoch: 26, LR: 0.00100000, Train Accuracy: 85.5285, Val Accuracy: 81.3385
[2019-10-24 17:46:57] Epoch: 27, LR: 0.00100000, Train Accuracy: 82.4390, Val Accuracy: 83.2017
[2019-10-24 17:48:15] Epoch: 28, LR: 0.00100000, Train Accuracy: 88.2927, Val Accuracy: 84.8413
[2019-10-24 17:49:33] Epoch: 29, LR: 0.00100000, Train Accuracy: 87.3171, Val Accuracy: 82.1732
[2019-10-24 17:50:51] Epoch: 30, LR: 0.00100000, Train Accuracy: 78.5366, Val Accuracy: 70.4725
[2019-10-24 17:52:08] Epoch: 31, LR: 0.00100000, Train Accuracy: 85.0407, Val Accuracy: 82.3372
[2019-10-24 17:53:26] Epoch: 32, LR: 0.00100000, Train Accuracy: 87.8862, Val Accuracy: 80.9510
[2019-10-24 17:54:44] Epoch: 33, LR: 0.00100000, Train Accuracy: 79.4309, Val Accuracy: 81.2342
[2019-10-24 17:56:02] Epoch: 34, LR: 0.00100000, Train Accuracy: 82.7642, Val Accuracy: 69.6378
[2019-10-24 17:57:20] Epoch: 35, LR: 0.00100000, Train Accuracy: 84.8780, Val Accuracy: 88.1055
[2019-10-24 17:58:38] Epoch: 36, LR: 0.00100000, Train Accuracy: 90.2439, Val Accuracy: 86.6001
[2019-10-24 17:59:56] Epoch: 37, LR: 0.00100000, Train Accuracy: 88.6992, Val Accuracy: 86.8982
[2019-10-24 18:01:13] Epoch: 38, LR: 0.00100000, Train Accuracy: 86.7480, Val Accuracy: 76.7327
[2019-10-24 18:02:31] Epoch: 39, LR: 0.00100000, Train Accuracy: 87.0732, Val Accuracy: 81.8006
[2019-10-24 18:03:49] Epoch: 40, LR: 0.00100000, Train Accuracy: 89.5122, Val Accuracy: 88.7763
[2019-10-24 18:05:07] Epoch: 41, LR: 0.00100000, Train Accuracy: 88.0488, Val Accuracy: 85.7058
[2019-10-24 18:06:24] Epoch: 42, LR: 0.00100000, Train Accuracy: 91.1382, Val Accuracy: 87.6882
[2019-10-24 18:07:43] Epoch: 43, LR: 0.00100000, Train Accuracy: 88.9431, Val Accuracy: 89.4321
[2019-10-24 18:09:00] Epoch: 44, LR: 0.00100000, Train Accuracy: 88.5366, Val Accuracy: 79.5946
[2019-10-24 18:10:18] Epoch: 45, LR: 0.00100000, Train Accuracy: 91.7073, Val Accuracy: 87.0622
[2019-10-24 18:11:36] Epoch: 46, LR: 0.00100000, Train Accuracy: 90.1626, Val Accuracy: 89.1936
[2019-10-24 18:12:54] Epoch: 47, LR: 0.00100000, Train Accuracy: 92.6829, Val Accuracy: 89.0297
[2019-10-24 18:14:12] Epoch: 48, LR: 0.00100000, Train Accuracy: 91.1382, Val Accuracy: 90.8034
[2019-10-24 18:15:30] Epoch: 49, LR: 0.00100000, Train Accuracy: 90.7317, Val Accuracy: 83.7085
[2019-10-24 18:16:48] Epoch: 50, LR: 0.00100000, Train Accuracy: 91.3008, Val Accuracy: 87.7031
[2019-10-24 18:18:05] Epoch: 51, LR: 0.00100000, Train Accuracy: 92.3577, Val Accuracy: 87.5540
[2019-10-24 18:19:23] Epoch: 52, LR: 0.00100000, Train Accuracy: 90.8130, Val Accuracy: 90.0432
[2019-10-24 18:20:41] Epoch: 53, LR: 0.00100000, Train Accuracy: 89.9187, Val Accuracy: 87.5689
[2019-10-24 18:21:59] Epoch: 54, LR: 0.00100000, Train Accuracy: 92.6829, Val Accuracy: 86.8088
[2019-10-24 18:23:17] Epoch: 55, LR: 0.00100000, Train Accuracy: 92.2764, Val Accuracy: 89.9836
[2019-10-24 18:24:35] Epoch: 56, LR: 0.00100000, Train Accuracy: 93.0081, Val Accuracy: 86.3616
[2019-10-24 18:25:53] Epoch: 57, LR: 0.00100000, Train Accuracy: 93.8211, Val Accuracy: 90.2221
[2019-10-24 18:27:11] Epoch: 58, LR: 0.00100000, Train Accuracy: 94.5528, Val Accuracy: 89.4023
[2019-10-24 18:28:29] Epoch: 59, LR: 0.00100000, Train Accuracy: 93.3333, Val Accuracy: 91.0121
[2019-10-24 18:29:47] Epoch: 60, LR: 0.00100000, Train Accuracy: 91.9512, Val Accuracy: 88.2546
[2019-10-24 18:31:05] Epoch: 61, LR: 0.00100000, Train Accuracy: 93.9837, Val Accuracy: 83.9320
[2019-10-24 18:32:23] Epoch: 62, LR: 0.00100000, Train Accuracy: 93.4959, Val Accuracy: 90.1178
[2019-10-24 18:33:40] Epoch: 63, LR: 0.00100000, Train Accuracy: 95.2033, Val Accuracy: 87.6137
[2019-10-24 18:34:58] Epoch: 64, LR: 0.00100000, Train Accuracy: 93.3333, Val Accuracy: 90.4159
[2019-10-24 18:36:16] Epoch: 65, LR: 0.00100000, Train Accuracy: 92.6016, Val Accuracy: 84.1556
[2019-10-24 18:37:34] Epoch: 66, LR: 0.00100000, Train Accuracy: 92.7642, Val Accuracy: 87.6733
[2019-10-24 18:38:52] Epoch: 67, LR: 0.00100000, Train Accuracy: 91.5447, Val Accuracy: 87.4348
[2019-10-24 18:40:10] Epoch: 68, LR: 0.00100000, Train Accuracy: 92.6016, Val Accuracy: 88.4931
[2019-10-24 18:41:27] Epoch: 69, LR: 0.00100000, Train Accuracy: 94.3902, Val Accuracy: 88.6868
[2019-10-24 18:42:45] Epoch: 70, LR: 0.00100000, Train Accuracy: 90.4878, Val Accuracy: 87.2410
[2019-10-24 18:44:03] Epoch: 71, LR: 0.00010000, Train Accuracy: 94.3089, Val Accuracy: 90.3413
[2019-10-24 18:45:21] Epoch: 72, LR: 0.00010000, Train Accuracy: 95.2846, Val Accuracy: 91.4890
[2019-10-24 18:46:39] Epoch: 73, LR: 0.00010000, Train Accuracy: 95.6911, Val Accuracy: 91.8766
[2019-10-24 18:47:57] Epoch: 74, LR: 0.00010000, Train Accuracy: 96.6667, Val Accuracy: 91.8468
[2019-10-24 18:49:16] Epoch: 75, LR: 0.00010000, Train Accuracy: 96.6667, Val Accuracy: 92.0853
[2019-10-24 18:50:34] Epoch: 76, LR: 0.00010000, Train Accuracy: 97.8862, Val Accuracy: 92.2343
[2019-10-24 18:51:52] Epoch: 77, LR: 0.00010000, Train Accuracy: 97.1545, Val Accuracy: 92.4281
[2019-10-24 18:53:09] Epoch: 78, LR: 0.00010000, Train Accuracy: 97.6423, Val Accuracy: 92.1449
[2019-10-24 18:54:27] Epoch: 79, LR: 0.00010000, Train Accuracy: 97.6423, Val Accuracy: 92.3834
[2019-10-24 18:55:45] Epoch: 80, LR: 0.00010000, Train Accuracy: 97.7236, Val Accuracy: 92.6069
[2019-10-24 18:57:03] Epoch: 81, LR: 0.00010000, Train Accuracy: 97.6423, Val Accuracy: 92.5026
[2019-10-24 18:58:21] Epoch: 82, LR: 0.00010000, Train Accuracy: 97.7236, Val Accuracy: 92.5026
[2019-10-24 18:59:39] Epoch: 83, LR: 0.00010000, Train Accuracy: 96.5041, Val Accuracy: 91.9958
[2019-10-24 19:00:57] Epoch: 84, LR: 0.00010000, Train Accuracy: 97.4797, Val Accuracy: 92.3237
