
---- Start ----

2020-01-16 13:22:39.569315: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer.so.6'; dlerror: libnvinfer.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda10/dnn7.6.5/lib64:LD_LIBRARY_PATH:/usr/local/cuda-10.1/lib64:
2020-01-16 13:22:39.569383: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer_plugin.so.6'; dlerror: libnvinfer_plugin.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda10/dnn7.6.5/lib64:LD_LIBRARY_PATH:/usr/local/cuda-10.1/lib64:
2020-01-16 13:22:39.569389: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:30] Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
Hay 6 clases!
[Train] 3189 muestras
[Validacion] 586 muestras
Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])

--------------------------------------------
verbose: False
optimizer: adam
epochs: 200
batch_size: 256
learning_rate: 0.0001
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
damaged_problem: True
cutmix: False
img_size: 256
crop_size: 224
model_name: resnet34
pretrained: True
validation_size: 0.15
output_dir: results/resnet34_adam_256to224_lr0.0001_DA_pretrained_Cutmix_OnlyDamaged/
data_augmentation: True

-------------- START TRAINING --------------
[2020-01-16 12:23:14] Epoch: 1, LR: 0.00010000, Train Accuracy: 62.6529%, Val Accuracy: 76.9625%
[2020-01-16 12:23:46] Epoch: 2, LR: 0.00010000, Train Accuracy: 85.0737%, Val Accuracy: 88.7372%
[2020-01-16 12:24:18] Epoch: 3, LR: 0.00010000, Train Accuracy: 90.4045%, Val Accuracy: 91.6382%
[2020-01-16 12:24:51] Epoch: 4, LR: 0.00010000, Train Accuracy: 92.8818%, Val Accuracy: 93.5154%
[2020-01-16 12:25:23] Epoch: 5, LR: 0.00010000, Train Accuracy: 94.2302%, Val Accuracy: 94.0273%
[2020-01-16 12:25:56] Epoch: 6, LR: 0.00010000, Train Accuracy: 94.7632%, Val Accuracy: 95.2218%
[2020-01-16 12:26:28] Epoch: 7, LR: 0.00010000, Train Accuracy: 96.1743%, Val Accuracy: 95.7338%
[2020-01-16 12:27:00] Epoch: 8, LR: 0.00010000, Train Accuracy: 96.2057%, Val Accuracy: 95.0512%
[2020-01-16 12:27:32] Epoch: 9, LR: 0.00010000, Train Accuracy: 96.7074%, Val Accuracy: 95.0512%
[2020-01-16 12:28:05] Epoch: 10, LR: 0.00010000, Train Accuracy: 97.1151%, Val Accuracy: 96.9283%
[2020-01-16 12:28:37] Epoch: 11, LR: 0.00010000, Train Accuracy: 97.8050%, Val Accuracy: 95.3925%
[2020-01-16 12:29:09] Epoch: 12, LR: 0.00010000, Train Accuracy: 97.9617%, Val Accuracy: 97.7816%
[2020-01-16 12:29:41] Epoch: 13, LR: 0.00010000, Train Accuracy: 97.4287%, Val Accuracy: 96.9283%
[2020-01-16 12:30:14] Epoch: 14, LR: 0.00010000, Train Accuracy: 98.0872%, Val Accuracy: 96.4164%
[2020-01-16 12:30:46] Epoch: 15, LR: 0.00010000, Train Accuracy: 98.0558%, Val Accuracy: 97.2696%
