
---- Start ----


--------------------------------------------
optimizer: sgd
pretrained: False
steps_scheduler: True
model_name: resnet18
output_dir: results/resnet18_sgd_224to224_lr0.01_NoDa/
data_augmentation: False
epochs: 200
batch_size: 32
crop_size: 224
steps_best: False
learning_rate: 0.01
img_size: 224
min_learning_rate: 1e-05
plateau_scheduler: False
validation_size: 0.15
verbose: False

-------------- START TRAINING --------------
[2019-09-17 10:52:53] Epoch: 1, LR: 0.01000000, Train Accuracy: 42.9905, Val Accuracy: 44.0806
[2019-09-17 10:56:13] Epoch: 2, LR: 0.01000000, Train Accuracy: 55.9721, Val Accuracy: 51.3014
[2019-09-17 10:59:32] Epoch: 3, LR: 0.01000000, Train Accuracy: 66.8939, Val Accuracy: 61.8808
[2019-09-17 11:02:50] Epoch: 4, LR: 0.01000000, Train Accuracy: 72.3770, Val Accuracy: 70.3610
[2019-09-17 11:06:08] Epoch: 5, LR: 0.01000000, Train Accuracy: 75.5779, Val Accuracy: 74.4752
[2019-09-17 11:09:27] Epoch: 6, LR: 0.01000000, Train Accuracy: 79.2828, Val Accuracy: 77.1620
[2019-09-17 11:12:46] Epoch: 7, LR: 0.01000000, Train Accuracy: 80.6461, Val Accuracy: 79.0092
[2019-09-17 11:16:05] Epoch: 8, LR: 0.01000000, Train Accuracy: 82.3800, Val Accuracy: 29.8908
[2019-09-17 11:19:30] Epoch: 9, LR: 0.01000000, Train Accuracy: 84.4991, Val Accuracy: 76.0705
[2019-09-17 11:22:52] Epoch: 10, LR: 0.01000000, Train Accuracy: 84.9289, Val Accuracy: 76.7422
[2019-09-17 11:26:12] Epoch: 11, LR: 0.01000000, Train Accuracy: 86.1589, Val Accuracy: 82.7876
[2019-09-17 11:29:31] Epoch: 12, LR: 0.01000000, Train Accuracy: 86.8257, Val Accuracy: 70.2771
[2019-09-17 11:32:50] Epoch: 13, LR: 0.01000000, Train Accuracy: 86.5590, Val Accuracy: 66.5827
[2019-09-17 11:36:09] Epoch: 14, LR: 0.01000000, Train Accuracy: 87.1221, Val Accuracy: 87.6574
[2019-09-17 11:39:27] Epoch: 15, LR: 0.01000000, Train Accuracy: 88.6337, Val Accuracy: 85.9782
[2019-09-17 11:42:47] Epoch: 16, LR: 0.01000000, Train Accuracy: 88.9449, Val Accuracy: 65.0714
[2019-09-17 11:46:06] Epoch: 17, LR: 0.01000000, Train Accuracy: 89.8637, Val Accuracy: 29.1352
