
---- Start ----

Hay 1 clases!
Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])

--------------------------------------------
verbose: False
optimizer: adam
epochs: 200
batch_size: 64
learning_rate: 0.0001
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: True
img_size: 256
crop_size: 224
model_name: seresnext101
pretrained: True
validation_size: 0.15
output_dir: results/seresnext101_adam_256to224_lr0.0001_DA_pretrained_Binary/
data_augmentation: True

-------------- START TRAINING --------------
[2019-11-29 21:43:34] Epoch: 1, LR: 0.00010000, Train Accuracy: 3358.8618, Val Accuracy: 92.4579
[2019-11-29 21:45:12] Epoch: 2, LR: 0.00010000, Train Accuracy: 3358.8618, Val Accuracy: 95.3495
[2019-11-29 21:46:50] Epoch: 3, LR: 0.00010000, Train Accuracy: 3366.9919, Val Accuracy: 96.8401
[2019-11-29 21:48:29] Epoch: 4, LR: 0.00010000, Train Accuracy: 3354.7967, Val Accuracy: 95.5880
[2019-11-29 21:50:08] Epoch: 5, LR: 0.00010000, Train Accuracy: 3371.0569, Val Accuracy: 97.3021
[2019-11-29 21:51:46] Epoch: 6, LR: 0.00010000, Train Accuracy: 3354.7967, Val Accuracy: 96.2886
[2019-11-29 21:53:25] Epoch: 7, LR: 0.00010000, Train Accuracy: 3350.7317, Val Accuracy: 96.6314
[2019-11-29 21:55:04] Epoch: 8, LR: 0.00010000, Train Accuracy: 3354.7967, Val Accuracy: 96.9444
[2019-11-29 21:56:43] Epoch: 9, LR: 0.00010000, Train Accuracy: 3346.6667, Val Accuracy: 97.0189
[2019-11-29 21:58:22] Epoch: 10, LR: 0.00010000, Train Accuracy: 3350.7317, Val Accuracy: 96.3184
[2019-11-29 22:00:01] Epoch: 11, LR: 0.00010000, Train Accuracy: 3350.7317, Val Accuracy: 97.3021
[2019-11-29 22:01:40] Epoch: 12, LR: 0.00010000, Train Accuracy: 3358.8618, Val Accuracy: 96.9593
[2019-11-29 22:03:19] Epoch: 13, LR: 0.00010000, Train Accuracy: 3362.9268, Val Accuracy: 97.2425
[2019-11-29 22:04:58] Epoch: 14, LR: 0.00010000, Train Accuracy: 3342.6016, Val Accuracy: 97.0040
[2019-11-29 22:06:38] Epoch: 15, LR: 0.00010000, Train Accuracy: 3366.9919, Val Accuracy: 97.7046
[2019-11-29 22:08:17] Epoch: 16, LR: 0.00010000, Train Accuracy: 3354.7967, Val Accuracy: 97.4661
[2019-11-29 22:09:56] Epoch: 17, LR: 0.00010000, Train Accuracy: 3362.9268, Val Accuracy: 97.1084
[2019-11-29 22:11:35] Epoch: 18, LR: 0.00010000, Train Accuracy: 3354.7967, Val Accuracy: 96.8550
[2019-11-29 22:13:13] Epoch: 19, LR: 0.00010000, Train Accuracy: 3346.6667, Val Accuracy: 97.0338
[2019-11-29 22:14:53] Epoch: 20, LR: 0.00010000, Train Accuracy: 3366.9919, Val Accuracy: 97.1531
[2019-11-29 22:16:32] Epoch: 21, LR: 0.00010000, Train Accuracy: 3346.6667, Val Accuracy: 97.4661
[2019-11-29 22:18:11] Epoch: 22, LR: 0.00010000, Train Accuracy: 3350.7317, Val Accuracy: 97.4512
[2019-11-29 22:19:50] Epoch: 23, LR: 0.00010000, Train Accuracy: 3371.0569, Val Accuracy: 96.6612
[2019-11-29 22:21:30] Epoch: 24, LR: 0.00010000, Train Accuracy: 3366.9919, Val Accuracy: 97.7940
[2019-11-29 22:23:07] Epoch: 25, LR: 0.00010000, Train Accuracy: 3362.9268, Val Accuracy: 97.5257
[2019-11-29 22:24:46] Epoch: 26, LR: 0.00010000, Train Accuracy: 3354.7967, Val Accuracy: 97.7195
[2019-11-29 22:26:26] Epoch: 27, LR: 0.00010000, Train Accuracy: 3358.8618, Val Accuracy: 97.8238
[2019-11-29 22:28:05] Epoch: 28, LR: 0.00010000, Train Accuracy: 3358.8618, Val Accuracy: 96.7208
[2019-11-29 22:29:43] Epoch: 29, LR: 0.00010000, Train Accuracy: 3354.7967, Val Accuracy: 97.5555
[2019-11-29 22:31:22] Epoch: 30, LR: 0.00010000, Train Accuracy: 3346.6667, Val Accuracy: 97.4810
[2019-11-29 22:33:01] Epoch: 31, LR: 0.00010000, Train Accuracy: 3371.0569, Val Accuracy: 97.6748
[2019-11-29 22:34:39] Epoch: 32, LR: 0.00010000, Train Accuracy: 3354.7967, Val Accuracy: 97.0636
[2019-11-29 22:36:18] Epoch: 33, LR: 0.00010000, Train Accuracy: 3358.8618, Val Accuracy: 97.7642
[2019-11-29 22:37:55] Epoch: 34, LR: 0.00010000, Train Accuracy: 3350.7317, Val Accuracy: 97.5257
[2019-11-29 22:39:34] Epoch: 35, LR: 0.00010000, Train Accuracy: 3354.7967, Val Accuracy: 97.2574
[2019-11-29 22:41:13] Epoch: 36, LR: 0.00010000, Train Accuracy: 3358.8618, Val Accuracy: 97.0636
[2019-11-29 22:42:51] Epoch: 37, LR: 0.00010000, Train Accuracy: 3346.6667, Val Accuracy: 96.9742
[2019-11-29 22:44:31] Epoch: 38, LR: 0.00010000, Train Accuracy: 3362.9268, Val Accuracy: 97.1382
[2019-11-29 22:46:09] Epoch: 39, LR: 0.00010000, Train Accuracy: 3371.0569, Val Accuracy: 97.4959
[2019-11-29 22:47:47] Epoch: 40, LR: 0.00010000, Train Accuracy: 3346.6667, Val Accuracy: 96.7506
