
---- Start ----

Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
Loaded Class weights!
Weights: [6.626878130217029, 6.4439935064935066, 3.1023837436498636, 43.14673913043478, 20.567357512953368, 16.006048387096776, 6.632414369256474, 21.284182305630026, 25.28343949044586]

--------------------------------------------
optimizer: adam
batch_size: 64
pretrained: True
plateau_scheduler: False
crop_size: 224
epochs: 200
min_learning_rate: 1e-07
steps_best: False
img_size: 256
verbose: False
output_dir: results/seresnext50_adam_256to224_lr0.000256_DA_pretrained_weightedLoss/
learning_rate: 0.000256
validation_size: 0.15
weighted_loss: True
model_name: seresnext50
steps_scheduler: True
data_augmentation: True

-------------- START TRAINING --------------
[2019-09-26 08:35:03] Epoch: 1, LR: 0.00025600, Train Accuracy: 43.9024, Val Accuracy: 62.5130
[2019-09-26 08:36:57] Epoch: 2, LR: 0.00025600, Train Accuracy: 80.4878, Val Accuracy: 83.9171
[2019-09-26 08:38:48] Epoch: 3, LR: 0.00025600, Train Accuracy: 86.3415, Val Accuracy: 83.6190
[2019-09-26 08:40:40] Epoch: 4, LR: 0.00025600, Train Accuracy: 87.0732, Val Accuracy: 89.1638
[2019-09-26 08:42:32] Epoch: 5, LR: 0.00025600, Train Accuracy: 87.5610, Val Accuracy: 88.7465
[2019-09-26 08:44:24] Epoch: 6, LR: 0.00025600, Train Accuracy: 90.4878, Val Accuracy: 87.5391
[2019-09-26 08:46:17] Epoch: 7, LR: 0.00025600, Train Accuracy: 93.4146, Val Accuracy: 89.4619
[2019-09-26 08:48:09] Epoch: 8, LR: 0.00025600, Train Accuracy: 90.2439, Val Accuracy: 90.0879
[2019-09-26 08:50:03] Epoch: 9, LR: 0.00025600, Train Accuracy: 92.1951, Val Accuracy: 90.1476
[2019-09-26 08:51:58] Epoch: 10, LR: 0.00025600, Train Accuracy: 92.5203, Val Accuracy: 91.2655
[2019-09-26 08:53:49] Epoch: 11, LR: 0.00025600, Train Accuracy: 94.5528, Val Accuracy: 88.9253
