
---- Start ----

Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
Loaded Class weights!
Weights: [6.626878130217029, 6.4439935064935066, 3.1023837436498636, 43.14673913043478, 20.567357512953368, 16.006048387096776, 6.632414369256474, 21.284182305630026, 25.28343949044586]

--------------------------------------------
img_size: 256
batch_size: 64
output_dir: results/seresnext50_adam_256to224_lr0.001_DA_pretrained_weightedLoss/
plateau_scheduler: False
crop_size: 224
steps_scheduler: True
data_augmentation: True
pretrained: True
epochs: 200
steps_best: False
validation_size: 0.15
verbose: False
weighted_loss: True
model_name: seresnext50
min_learning_rate: 1e-07
learning_rate: 0.001
optimizer: adam

-------------- START TRAINING --------------
[2019-09-25 10:03:14] Epoch: 1, LR: 0.00100000, Train Accuracy: 53.4146, Val Accuracy: 55.2541
[2019-09-25 10:05:07] Epoch: 2, LR: 0.00100000, Train Accuracy: 73.4146, Val Accuracy: 65.5090
[2019-09-25 10:06:59] Epoch: 3, LR: 0.00100000, Train Accuracy: 78.1301, Val Accuracy: 51.2744
[2019-09-25 10:08:53] Epoch: 4, LR: 0.00100000, Train Accuracy: 79.3496, Val Accuracy: 85.2437
[2019-09-25 10:10:45] Epoch: 5, LR: 0.00100000, Train Accuracy: 84.0650, Val Accuracy: 80.6379
[2019-09-25 10:12:36] Epoch: 6, LR: 0.00100000, Train Accuracy: 87.0732, Val Accuracy: 69.9806
[2019-09-25 10:14:37] Epoch: 7, LR: 0.00100000, Train Accuracy: 87.1545, Val Accuracy: 55.7311
[2019-09-25 10:16:29] Epoch: 8, LR: 0.00100000, Train Accuracy: 83.0081, Val Accuracy: 85.5567
[2019-09-25 10:18:21] Epoch: 9, LR: 0.00100000, Train Accuracy: 88.6992, Val Accuracy: 87.0920
[2019-09-25 10:20:15] Epoch: 10, LR: 0.00100000, Train Accuracy: 89.3496, Val Accuracy: 86.3020
[2019-09-25 10:22:06] Epoch: 11, LR: 0.00100000, Train Accuracy: 80.3252, Val Accuracy: 67.9088
[2019-09-25 10:24:01] Epoch: 12, LR: 0.00100000, Train Accuracy: 86.2602, Val Accuracy: 85.4673
[2019-09-25 10:25:54] Epoch: 13, LR: 0.00100000, Train Accuracy: 89.5122, Val Accuracy: 88.7763
[2019-09-25 10:27:48] Epoch: 14, LR: 0.00100000, Train Accuracy: 89.9187, Val Accuracy: 86.3020
[2019-09-25 10:29:40] Epoch: 15, LR: 0.00100000, Train Accuracy: 88.2114, Val Accuracy: 82.9036
[2019-09-25 10:31:34] Epoch: 16, LR: 0.00100000, Train Accuracy: 91.7073, Val Accuracy: 87.2112
