
---- Start ----

Pretrained-> Remember at end: transforms.Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
Loaded Class weights!
Weights: [6.626878130217029, 6.4439935064935066, 3.1023837436498636, 43.14673913043478, 20.567357512953368, 16.006048387096776, 6.632414369256474, 21.284182305630026, 25.28343949044586]

--------------------------------------------
weighted_loss: True
plateau_scheduler: False
validation_size: 0.15
steps_scheduler: True
img_size: 256
verbose: False
steps_best: False
output_dir: results/seresnext50_adam_256to224_lr0.01_DA_pretrained_weightedLoss/
learning_rate: 0.01
epochs: 200
data_augmentation: True
model_name: seresnext50
optimizer: adam
batch_size: 64
min_learning_rate: 1e-07
pretrained: True
crop_size: 224

-------------- START TRAINING --------------
[2019-09-25 10:03:03] Epoch: 1, LR: 0.01000000, Train Accuracy: 6.8293, Val Accuracy: 15.2184
[2019-09-25 10:04:56] Epoch: 2, LR: 0.01000000, Train Accuracy: 7.0732, Val Accuracy: 15.8593
[2019-09-25 10:06:47] Epoch: 3, LR: 0.01000000, Train Accuracy: 7.0732, Val Accuracy: 6.4987
[2019-09-25 10:08:40] Epoch: 4, LR: 0.01000000, Train Accuracy: 5.5285, Val Accuracy: 7.0651
[2019-09-25 10:10:31] Epoch: 5, LR: 0.01000000, Train Accuracy: 5.4472, Val Accuracy: 3.1003
[2019-09-25 10:12:22] Epoch: 6, LR: 0.01000000, Train Accuracy: 4.7154, Val Accuracy: 5.4852
[2019-09-25 10:14:21] Epoch: 7, LR: 0.01000000, Train Accuracy: 12.2764, Val Accuracy: 4.7548
[2019-09-25 10:16:17] Epoch: 8, LR: 0.01000000, Train Accuracy: 12.7642, Val Accuracy: 20.6588
[2019-09-25 10:18:08] Epoch: 9, LR: 0.01000000, Train Accuracy: 10.2439, Val Accuracy: 8.9432
[2019-09-25 10:20:02] Epoch: 10, LR: 0.01000000, Train Accuracy: 12.8455, Val Accuracy: 14.4284
[2019-09-25 10:21:54] Epoch: 11, LR: 0.01000000, Train Accuracy: 6.5854, Val Accuracy: 7.4676
[2019-09-25 10:23:49] Epoch: 12, LR: 0.01000000, Train Accuracy: 12.2764, Val Accuracy: 9.9419
[2019-09-25 10:25:42] Epoch: 13, LR: 0.01000000, Train Accuracy: 11.8699, Val Accuracy: 10.2251
[2019-09-25 10:27:36] Epoch: 14, LR: 0.01000000, Train Accuracy: 13.4959, Val Accuracy: 17.3498
[2019-09-25 10:29:29] Epoch: 15, LR: 0.01000000, Train Accuracy: 7.1545, Val Accuracy: 7.0055
[2019-09-25 10:31:23] Epoch: 16, LR: 0.01000000, Train Accuracy: 8.8618, Val Accuracy: 9.9121
[2019-09-25 10:33:17] Epoch: 17, LR: 0.01000000, Train Accuracy: 8.9431, Val Accuracy: 6.4838
[2019-09-25 10:35:13] Epoch: 18, LR: 0.01000000, Train Accuracy: 7.8049, Val Accuracy: 13.3850
[2019-09-25 10:37:09] Epoch: 19, LR: 0.01000000, Train Accuracy: 13.1707, Val Accuracy: 13.4893
[2019-09-25 10:39:01] Epoch: 20, LR: 0.01000000, Train Accuracy: 13.4146, Val Accuracy: 22.8648
[2019-09-25 10:40:55] Epoch: 21, LR: 0.01000000, Train Accuracy: 18.3740, Val Accuracy: 19.4068
[2019-09-25 10:42:50] Epoch: 22, LR: 0.01000000, Train Accuracy: 16.1789, Val Accuracy: 18.3634
[2019-09-25 10:44:43] Epoch: 23, LR: 0.01000000, Train Accuracy: 14.9593, Val Accuracy: 19.1981
[2019-09-25 10:46:36] Epoch: 24, LR: 0.01000000, Train Accuracy: 14.9593, Val Accuracy: 18.7807
[2019-09-25 10:48:32] Epoch: 25, LR: 0.01000000, Train Accuracy: 15.9350, Val Accuracy: 14.3837
[2019-09-25 10:50:23] Epoch: 26, LR: 0.01000000, Train Accuracy: 17.7236, Val Accuracy: 14.2793
[2019-09-25 10:52:18] Epoch: 27, LR: 0.01000000, Train Accuracy: 17.5610, Val Accuracy: 23.5355
[2019-09-25 10:54:10] Epoch: 28, LR: 0.01000000, Train Accuracy: 23.7398, Val Accuracy: 25.7863
[2019-09-25 10:56:06] Epoch: 29, LR: 0.01000000, Train Accuracy: 24.2276, Val Accuracy: 28.2456
[2019-09-25 10:58:01] Epoch: 30, LR: 0.01000000, Train Accuracy: 26.1789, Val Accuracy: 34.8487
[2019-09-25 10:59:56] Epoch: 31, LR: 0.01000000, Train Accuracy: 22.9268, Val Accuracy: 29.9598
[2019-09-25 11:01:52] Epoch: 32, LR: 0.01000000, Train Accuracy: 23.1707, Val Accuracy: 32.1508
[2019-09-25 11:03:45] Epoch: 33, LR: 0.01000000, Train Accuracy: 26.9919, Val Accuracy: 25.4583
[2019-09-25 11:05:37] Epoch: 34, LR: 0.01000000, Train Accuracy: 33.3333, Val Accuracy: 35.4300
[2019-09-25 11:07:29] Epoch: 35, LR: 0.01000000, Train Accuracy: 26.1789, Val Accuracy: 24.4597
[2019-09-25 11:09:22] Epoch: 36, LR: 0.01000000, Train Accuracy: 27.8049, Val Accuracy: 28.7971
[2019-09-25 11:11:15] Epoch: 37, LR: 0.01000000, Train Accuracy: 35.1220, Val Accuracy: 28.8120
[2019-09-25 11:13:09] Epoch: 38, LR: 0.01000000, Train Accuracy: 28.8618, Val Accuracy: 36.0709
[2019-09-25 11:15:02] Epoch: 39, LR: 0.01000000, Train Accuracy: 27.3171, Val Accuracy: 28.4841
[2019-09-25 11:16:58] Epoch: 40, LR: 0.01000000, Train Accuracy: 30.8130, Val Accuracy: 22.6859
[2019-09-25 11:18:50] Epoch: 41, LR: 0.01000000, Train Accuracy: 37.8049, Val Accuracy: 38.5005
[2019-09-25 11:20:42] Epoch: 42, LR: 0.01000000, Train Accuracy: 42.1951, Val Accuracy: 37.1143
[2019-09-25 11:22:37] Epoch: 43, LR: 0.01000000, Train Accuracy: 43.4959, Val Accuracy: 46.4749
[2019-09-25 11:24:29] Epoch: 44, LR: 0.01000000, Train Accuracy: 41.8699, Val Accuracy: 54.3747
[2019-09-25 11:26:21] Epoch: 45, LR: 0.01000000, Train Accuracy: 48.3740, Val Accuracy: 48.9045
[2019-09-25 11:28:17] Epoch: 46, LR: 0.01000000, Train Accuracy: 47.6423, Val Accuracy: 57.7582
[2019-09-25 11:30:09] Epoch: 47, LR: 0.01000000, Train Accuracy: 50.2439, Val Accuracy: 51.2297
[2019-09-25 11:32:04] Epoch: 48, LR: 0.01000000, Train Accuracy: 53.4959, Val Accuracy: 46.2364
[2019-09-25 11:33:58] Epoch: 49, LR: 0.01000000, Train Accuracy: 52.0325, Val Accuracy: 41.4518
[2019-09-25 11:35:53] Epoch: 50, LR: 0.01000000, Train Accuracy: 52.3577, Val Accuracy: 52.0495
[2019-09-25 11:37:46] Epoch: 51, LR: 0.01000000, Train Accuracy: 50.6504, Val Accuracy: 53.4357
