
---- Start ----

Hay 1 clases!
[Train] 334 muestras
[Validacion] 67 muestras

--------------------------------------------
verbose: False
optimizer: adam
epochs: 120
batch_size: 32
learning_rate: 0.01
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
damaged_problem: False
segmentation_problem: True
masks_overlays: 20
cutmix: False
selected_class: Huecos
img_size: 512
crop_size: 512
model_name: unet_extra_small
pretrained: False
validation_size: 0.15
output_dir: results/segmentation/Huecos/unet_extra_small_adam_512to512_lr0.01/
data_augmentation: True

-------------- START TRAINING --------------
[2020-09-18 06:16:41] Epoch: 1, LR: 0.01000000, Train IOU: 0.0425, Val IOU: 0.0000
[2020-09-18 06:17:17] Epoch: 2, LR: 0.01000000, Train IOU: 0.0026, Val IOU: 0.0001
[2020-09-18 06:17:51] Epoch: 3, LR: 0.01000000, Train IOU: 0.0215, Val IOU: 0.2188
[2020-09-18 06:18:26] Epoch: 4, LR: 0.01000000, Train IOU: 0.0901, Val IOU: 0.3826
[2020-09-18 06:19:00] Epoch: 5, LR: 0.01000000, Train IOU: 0.1147, Val IOU: 0.3018
[2020-09-18 06:19:35] Epoch: 6, LR: 0.01000000, Train IOU: 0.1391, Val IOU: 0.2180
[2020-09-18 06:20:09] Epoch: 7, LR: 0.01000000, Train IOU: 0.1225, Val IOU: 0.3972
[2020-09-18 06:20:44] Epoch: 8, LR: 0.01000000, Train IOU: 0.1330, Val IOU: 0.2896
[2020-09-18 06:21:19] Epoch: 9, LR: 0.01000000, Train IOU: 0.1609, Val IOU: 0.3373
[2020-09-18 06:21:53] Epoch: 10, LR: 0.01000000, Train IOU: 0.1573, Val IOU: 0.4868
[2020-09-18 06:22:29] Epoch: 11, LR: 0.01000000, Train IOU: 0.1601, Val IOU: 0.3367
[2020-09-18 06:23:03] Epoch: 12, LR: 0.01000000, Train IOU: 0.1463, Val IOU: 0.5181
[2020-09-18 06:23:38] Epoch: 13, LR: 0.01000000, Train IOU: 0.1366, Val IOU: 0.4498
[2020-09-18 06:24:13] Epoch: 14, LR: 0.01000000, Train IOU: 0.1549, Val IOU: 0.3920
[2020-09-18 06:24:46] Epoch: 15, LR: 0.01000000, Train IOU: 0.1409, Val IOU: 0.4528
[2020-09-18 06:25:21] Epoch: 16, LR: 0.01000000, Train IOU: 0.1377, Val IOU: 0.4773
[2020-09-18 06:25:56] Epoch: 17, LR: 0.01000000, Train IOU: 0.1274, Val IOU: 0.3294
[2020-09-18 06:26:30] Epoch: 18, LR: 0.01000000, Train IOU: 0.1407, Val IOU: 0.3505
[2020-09-18 06:27:05] Epoch: 19, LR: 0.01000000, Train IOU: 0.1603, Val IOU: 0.4283
[2020-09-18 06:27:41] Epoch: 20, LR: 0.01000000, Train IOU: 0.1424, Val IOU: 0.5219
[2020-09-18 06:28:16] Epoch: 21, LR: 0.01000000, Train IOU: 0.1531, Val IOU: 0.5408
[2020-09-18 06:28:50] Epoch: 22, LR: 0.01000000, Train IOU: 0.1582, Val IOU: 0.2115
[2020-09-18 06:29:25] Epoch: 23, LR: 0.01000000, Train IOU: 0.1670, Val IOU: 0.4318
[2020-09-18 06:29:59] Epoch: 24, LR: 0.01000000, Train IOU: 0.1574, Val IOU: 0.5172
[2020-09-18 06:30:33] Epoch: 25, LR: 0.01000000, Train IOU: 0.1564, Val IOU: 0.4925
[2020-09-18 06:31:08] Epoch: 26, LR: 0.01000000, Train IOU: 0.1554, Val IOU: 0.2609
[2020-09-18 06:31:43] Epoch: 27, LR: 0.01000000, Train IOU: 0.1194, Val IOU: 0.3698
[2020-09-18 06:32:17] Epoch: 28, LR: 0.01000000, Train IOU: 0.1653, Val IOU: 0.5799
[2020-09-18 06:32:51] Epoch: 29, LR: 0.01000000, Train IOU: 0.1314, Val IOU: 0.4670
[2020-09-18 06:33:26] Epoch: 30, LR: 0.01000000, Train IOU: 0.1297, Val IOU: 0.4575
[2020-09-18 06:34:01] Epoch: 31, LR: 0.01000000, Train IOU: 0.1517, Val IOU: 0.4690
[2020-09-18 06:34:35] Epoch: 32, LR: 0.01000000, Train IOU: 0.1686, Val IOU: 0.4736
[2020-09-18 06:35:10] Epoch: 33, LR: 0.01000000, Train IOU: 0.1718, Val IOU: 0.5308
[2020-09-18 06:35:45] Epoch: 34, LR: 0.01000000, Train IOU: 0.1510, Val IOU: 0.4872
[2020-09-18 06:36:19] Epoch: 35, LR: 0.01000000, Train IOU: 0.1629, Val IOU: 0.4642
[2020-09-18 06:36:55] Epoch: 36, LR: 0.01000000, Train IOU: 0.1682, Val IOU: 0.5695
[2020-09-18 06:37:30] Epoch: 37, LR: 0.01000000, Train IOU: 0.1620, Val IOU: 0.3732
[2020-09-18 06:38:05] Epoch: 38, LR: 0.01000000, Train IOU: 0.1489, Val IOU: 0.4703
[2020-09-18 06:38:40] Epoch: 39, LR: 0.01000000, Train IOU: 0.1666, Val IOU: 0.5276
[2020-09-18 06:39:15] Epoch: 40, LR: 0.01000000, Train IOU: 0.1501, Val IOU: 0.5712
[2020-09-18 06:39:49] Epoch: 41, LR: 0.01000000, Train IOU: 0.1728, Val IOU: 0.4817
[2020-09-18 06:40:23] Epoch: 42, LR: 0.01000000, Train IOU: 0.1879, Val IOU: 0.5274
[2020-09-18 06:40:58] Epoch: 43, LR: 0.01000000, Train IOU: 0.1528, Val IOU: 0.5441
[2020-09-18 06:41:33] Epoch: 44, LR: 0.01000000, Train IOU: 0.1645, Val IOU: 0.4304
[2020-09-18 06:42:07] Epoch: 45, LR: 0.01000000, Train IOU: 0.1453, Val IOU: 0.5553
[2020-09-18 06:42:41] Epoch: 46, LR: 0.01000000, Train IOU: 0.1791, Val IOU: 0.5557
[2020-09-18 06:43:15] Epoch: 47, LR: 0.01000000, Train IOU: 0.1555, Val IOU: 0.5164
[2020-09-18 06:43:50] Epoch: 48, LR: 0.01000000, Train IOU: 0.1716, Val IOU: 0.5769
[2020-09-18 06:44:24] Epoch: 49, LR: 0.01000000, Train IOU: 0.1615, Val IOU: 0.5568
[2020-09-18 06:44:59] Epoch: 50, LR: 0.01000000, Train IOU: 0.1738, Val IOU: 0.4131
[2020-09-18 06:45:34] Epoch: 51, LR: 0.00100000, Train IOU: 0.1717, Val IOU: 0.5776
[2020-09-18 06:46:08] Epoch: 52, LR: 0.00100000, Train IOU: 0.1635, Val IOU: 0.6005
[2020-09-18 06:46:43] Epoch: 53, LR: 0.00100000, Train IOU: 0.1692, Val IOU: 0.6194
[2020-09-18 06:47:18] Epoch: 54, LR: 0.00100000, Train IOU: 0.1737, Val IOU: 0.6179
[2020-09-18 06:47:52] Epoch: 55, LR: 0.00100000, Train IOU: 0.1781, Val IOU: 0.6068
[2020-09-18 06:48:26] Epoch: 56, LR: 0.00100000, Train IOU: 0.1550, Val IOU: 0.6014
[2020-09-18 06:49:01] Epoch: 57, LR: 0.00100000, Train IOU: 0.1955, Val IOU: 0.5833
[2020-09-18 06:49:36] Epoch: 58, LR: 0.00100000, Train IOU: 0.1812, Val IOU: 0.5987
[2020-09-18 06:50:10] Epoch: 59, LR: 0.00100000, Train IOU: 0.1758, Val IOU: 0.6237
[2020-09-18 06:50:45] Epoch: 60, LR: 0.00100000, Train IOU: 0.1750, Val IOU: 0.6243
[2020-09-18 06:51:20] Epoch: 61, LR: 0.00100000, Train IOU: 0.1892, Val IOU: 0.6265
[2020-09-18 06:51:56] Epoch: 62, LR: 0.00100000, Train IOU: 0.1903, Val IOU: 0.6209
[2020-09-18 06:52:31] Epoch: 63, LR: 0.00100000, Train IOU: 0.1981, Val IOU: 0.6074
[2020-09-18 06:53:06] Epoch: 64, LR: 0.00100000, Train IOU: 0.1937, Val IOU: 0.6109
[2020-09-18 06:53:40] Epoch: 65, LR: 0.00100000, Train IOU: 0.1588, Val IOU: 0.6092
[2020-09-18 06:54:14] Epoch: 66, LR: 0.00100000, Train IOU: 0.1696, Val IOU: 0.6044
[2020-09-18 06:54:49] Epoch: 67, LR: 0.00100000, Train IOU: 0.1814, Val IOU: 0.5884
[2020-09-18 06:55:24] Epoch: 68, LR: 0.00100000, Train IOU: 0.1968, Val IOU: 0.5952
[2020-09-18 06:55:59] Epoch: 69, LR: 0.00100000, Train IOU: 0.1934, Val IOU: 0.6065
[2020-09-18 06:56:34] Epoch: 70, LR: 0.00100000, Train IOU: 0.1737, Val IOU: 0.6163
[2020-09-18 06:57:08] Epoch: 71, LR: 0.00100000, Train IOU: 0.1796, Val IOU: 0.6125
[2020-09-18 06:57:43] Epoch: 72, LR: 0.00100000, Train IOU: 0.2035, Val IOU: 0.6043
[2020-09-18 06:58:17] Epoch: 73, LR: 0.00100000, Train IOU: 0.1701, Val IOU: 0.6119
[2020-09-18 06:58:52] Epoch: 74, LR: 0.00100000, Train IOU: 0.1714, Val IOU: 0.6124
[2020-09-18 06:59:27] Epoch: 75, LR: 0.00100000, Train IOU: 0.1711, Val IOU: 0.6217
[2020-09-18 07:00:03] Epoch: 76, LR: 0.00100000, Train IOU: 0.1923, Val IOU: 0.6232
[2020-09-18 07:00:37] Epoch: 77, LR: 0.00100000, Train IOU: 0.1745, Val IOU: 0.6072
[2020-09-18 07:01:11] Epoch: 78, LR: 0.00100000, Train IOU: 0.1831, Val IOU: 0.6227
[2020-09-18 07:01:46] Epoch: 79, LR: 0.00100000, Train IOU: 0.1889, Val IOU: 0.6290
[2020-09-18 07:02:21] Epoch: 80, LR: 0.00100000, Train IOU: 0.1784, Val IOU: 0.5922
[2020-09-18 07:02:56] Epoch: 81, LR: 0.00010000, Train IOU: 0.1641, Val IOU: 0.5999
[2020-09-18 07:03:31] Epoch: 82, LR: 0.00010000, Train IOU: 0.2003, Val IOU: 0.6071
[2020-09-18 07:04:05] Epoch: 83, LR: 0.00010000, Train IOU: 0.1925, Val IOU: 0.6059
[2020-09-18 07:04:39] Epoch: 84, LR: 0.00010000, Train IOU: 0.1755, Val IOU: 0.6030
[2020-09-18 07:05:14] Epoch: 85, LR: 0.00010000, Train IOU: 0.1919, Val IOU: 0.6041
[2020-09-18 07:05:49] Epoch: 86, LR: 0.00010000, Train IOU: 0.1860, Val IOU: 0.6224
[2020-09-18 07:06:24] Epoch: 87, LR: 0.00010000, Train IOU: 0.2011, Val IOU: 0.6066
[2020-09-18 07:07:00] Epoch: 88, LR: 0.00010000, Train IOU: 0.1972, Val IOU: 0.6174
[2020-09-18 07:07:34] Epoch: 89, LR: 0.00010000, Train IOU: 0.1804, Val IOU: 0.6187
[2020-09-18 07:08:07] Epoch: 90, LR: 0.00010000, Train IOU: 0.2154, Val IOU: 0.6250/home/maparla/venv/lib/python3.8/site-packages/matplotlib/image.py:452: UserWarning: Warning: converting a masked element to nan.
  dv = np.float64(self.norm.vmax) - np.float64(self.norm.vmin)
/home/maparla/venv/lib/python3.8/site-packages/matplotlib/image.py:459: UserWarning: Warning: converting a masked element to nan.
  a_min = np.float64(newmin)
/home/maparla/venv/lib/python3.8/site-packages/matplotlib/image.py:464: UserWarning: Warning: converting a masked element to nan.
  a_max = np.float64(newmax)
<__array_function__ internals>:5: UserWarning: Warning: converting a masked element to nan.
