
---- Start ----

There are 1 classes!
[Train fold] 355 samples
[Validation fold] 89 samples

--------------------------------------------
verbose: False
optimizer: adam
epochs: 120
batch_size: 32
learning_rate: 0.01
min_learning_rate: 1e-07
get_path: False
weighted_loss: False
plateau_scheduler: False
steps_best: False
steps_scheduler: True
binary_problem: False
multilabel_problem: False
damaged_problem: False
segmentation_problem: True
masks_overlays: 0
selected_class: Hueco
img_size: 512
crop_size: 512
model_name: unet_extra_small
checkpoint: 
data_mod: 
pretrained: False
fold: 0
output_dir: results/segmentation/fold0/Hueco/unet_extra_small_adam_512to512_lr0.01/
data_augmentation: True
histogram_matching: False

-------------- START TRAINING --------------
[2021-02-04 08:56:19] Epoch: 1, LR: 0.01000000, Train IOU: 0.0167, Val IOU: 0.1119, Val DICE: 0.1912
[2021-02-04 08:56:53] Epoch: 2, LR: 0.01000000, Train IOU: 0.0000, Val IOU: 0.1420, Val DICE: 0.2100
[2021-02-04 08:57:27] Epoch: 3, LR: 0.01000000, Train IOU: 0.0324, Val IOU: 0.2708, Val DICE: 0.3846
[2021-02-04 08:57:59] Epoch: 4, LR: 0.01000000, Train IOU: 0.1123, Val IOU: 0.3247, Val DICE: 0.4581
[2021-02-04 08:58:34] Epoch: 5, LR: 0.01000000, Train IOU: 0.1187, Val IOU: 0.4112, Val DICE: 0.5427
[2021-02-04 08:59:07] Epoch: 6, LR: 0.01000000, Train IOU: 0.1179, Val IOU: 0.3056, Val DICE: 0.4252
[2021-02-04 08:59:42] Epoch: 7, LR: 0.01000000, Train IOU: 0.1036, Val IOU: 0.1855, Val DICE: 0.2866
[2021-02-04 09:00:15] Epoch: 8, LR: 0.01000000, Train IOU: 0.1170, Val IOU: 0.1770, Val DICE: 0.2453
[2021-02-04 09:00:49] Epoch: 9, LR: 0.01000000, Train IOU: 0.1132, Val IOU: 0.3698, Val DICE: 0.4863
[2021-02-04 09:01:23] Epoch: 10, LR: 0.01000000, Train IOU: 0.1313, Val IOU: 0.2714, Val DICE: 0.3676
[2021-02-04 09:01:57] Epoch: 11, LR: 0.01000000, Train IOU: 0.1229, Val IOU: 0.3281, Val DICE: 0.4255
[2021-02-04 09:02:31] Epoch: 12, LR: 0.01000000, Train IOU: 0.1099, Val IOU: 0.2545, Val DICE: 0.3413
[2021-02-04 09:03:06] Epoch: 13, LR: 0.01000000, Train IOU: 0.1346, Val IOU: 0.4822, Val DICE: 0.6134
[2021-02-04 09:03:40] Epoch: 14, LR: 0.01000000, Train IOU: 0.1197, Val IOU: 0.0962, Val DICE: 0.1493
[2021-02-04 09:04:14] Epoch: 15, LR: 0.01000000, Train IOU: 0.1271, Val IOU: 0.4562, Val DICE: 0.5796
[2021-02-04 09:04:47] Epoch: 16, LR: 0.01000000, Train IOU: 0.1249, Val IOU: 0.3928, Val DICE: 0.5071
[2021-02-04 09:05:21] Epoch: 17, LR: 0.01000000, Train IOU: 0.1146, Val IOU: 0.0306, Val DICE: 0.0424
[2021-02-04 09:05:55] Epoch: 18, LR: 0.01000000, Train IOU: 0.1183, Val IOU: 0.5018, Val DICE: 0.6366
[2021-02-04 09:06:29] Epoch: 19, LR: 0.01000000, Train IOU: 0.1325, Val IOU: 0.4259, Val DICE: 0.5523
[2021-02-04 09:07:03] Epoch: 20, LR: 0.01000000, Train IOU: 0.1401, Val IOU: 0.4108, Val DICE: 0.5330
[2021-02-04 09:07:38] Epoch: 21, LR: 0.01000000, Train IOU: 0.1346, Val IOU: 0.3418, Val DICE: 0.4571
[2021-02-04 09:08:10] Epoch: 22, LR: 0.01000000, Train IOU: 0.1354, Val IOU: 0.4485, Val DICE: 0.5699
[2021-02-04 09:08:44] Epoch: 23, LR: 0.01000000, Train IOU: 0.1444, Val IOU: 0.3809, Val DICE: 0.4936
[2021-02-04 09:09:16] Epoch: 24, LR: 0.01000000, Train IOU: 0.1454, Val IOU: 0.2835, Val DICE: 0.3777
[2021-02-04 09:09:49] Epoch: 25, LR: 0.01000000, Train IOU: 0.1266, Val IOU: 0.3845, Val DICE: 0.4997
[2021-02-04 09:10:23] Epoch: 26, LR: 0.01000000, Train IOU: 0.1459, Val IOU: 0.4768, Val DICE: 0.5993
[2021-02-04 09:10:56] Epoch: 27, LR: 0.01000000, Train IOU: 0.1427, Val IOU: 0.4253, Val DICE: 0.5474
[2021-02-04 09:11:30] Epoch: 28, LR: 0.01000000, Train IOU: 0.1507, Val IOU: 0.2059, Val DICE: 0.2803
[2021-02-04 09:12:04] Epoch: 29, LR: 0.01000000, Train IOU: 0.1467, Val IOU: 0.2822, Val DICE: 0.3715
[2021-02-04 09:12:37] Epoch: 30, LR: 0.01000000, Train IOU: 0.1528, Val IOU: 0.5147, Val DICE: 0.6431
[2021-02-04 09:13:10] Epoch: 31, LR: 0.01000000, Train IOU: 0.1241, Val IOU: 0.5024, Val DICE: 0.6295
[2021-02-04 09:13:44] Epoch: 32, LR: 0.01000000, Train IOU: 0.1511, Val IOU: 0.4837, Val DICE: 0.6057
[2021-02-04 09:14:17] Epoch: 33, LR: 0.01000000, Train IOU: 0.1529, Val IOU: 0.4746, Val DICE: 0.6074
[2021-02-04 09:14:50] Epoch: 34, LR: 0.01000000, Train IOU: 0.1463, Val IOU: 0.4026, Val DICE: 0.5230
[2021-02-04 09:15:24] Epoch: 35, LR: 0.01000000, Train IOU: 0.1358, Val IOU: 0.2828, Val DICE: 0.3854
[2021-02-04 09:15:59] Epoch: 36, LR: 0.01000000, Train IOU: 0.1400, Val IOU: 0.3886, Val DICE: 0.4967
[2021-02-04 09:16:32] Epoch: 37, LR: 0.01000000, Train IOU: 0.1564, Val IOU: 0.4296, Val DICE: 0.5436
[2021-02-04 09:17:05] Epoch: 38, LR: 0.01000000, Train IOU: 0.1276, Val IOU: 0.5191, Val DICE: 0.6457
[2021-02-04 09:17:39] Epoch: 39, LR: 0.01000000, Train IOU: 0.1554, Val IOU: 0.3620, Val DICE: 0.4733
[2021-02-04 09:18:12] Epoch: 40, LR: 0.01000000, Train IOU: 0.1537, Val IOU: 0.4022, Val DICE: 0.5156
[2021-02-04 09:18:45] Epoch: 41, LR: 0.01000000, Train IOU: 0.1588, Val IOU: 0.5328, Val DICE: 0.6657
[2021-02-04 09:19:18] Epoch: 42, LR: 0.01000000, Train IOU: 0.1634, Val IOU: 0.4861, Val DICE: 0.6118
[2021-02-04 09:19:52] Epoch: 43, LR: 0.01000000, Train IOU: 0.1498, Val IOU: 0.4630, Val DICE: 0.5822
[2021-02-04 09:20:25] Epoch: 44, LR: 0.01000000, Train IOU: 0.1613, Val IOU: 0.4252, Val DICE: 0.5491
[2021-02-04 09:20:57] Epoch: 45, LR: 0.01000000, Train IOU: 0.1291, Val IOU: 0.4709, Val DICE: 0.5970
[2021-02-04 09:21:32] Epoch: 46, LR: 0.01000000, Train IOU: 0.1387, Val IOU: 0.3862, Val DICE: 0.5039
[2021-02-04 09:22:04] Epoch: 47, LR: 0.01000000, Train IOU: 0.1669, Val IOU: 0.1697, Val DICE: 0.2277
[2021-02-04 09:22:37] Epoch: 48, LR: 0.01000000, Train IOU: 0.1354, Val IOU: 0.5405, Val DICE: 0.6685
[2021-02-04 09:23:12] Epoch: 49, LR: 0.01000000, Train IOU: 0.1621, Val IOU: 0.4218, Val DICE: 0.5392
[2021-02-04 09:23:45] Epoch: 50, LR: 0.01000000, Train IOU: 0.1324, Val IOU: 0.4628, Val DICE: 0.5953
[2021-02-04 09:24:19] Epoch: 51, LR: 0.01000000, Train IOU: 0.1401, Val IOU: 0.5054, Val DICE: 0.6366
[2021-02-04 09:24:51] Epoch: 52, LR: 0.01000000, Train IOU: 0.1562, Val IOU: 0.5138, Val DICE: 0.6404
[2021-02-04 09:25:25] Epoch: 53, LR: 0.01000000, Train IOU: 0.1622, Val IOU: 0.4883, Val DICE: 0.6118
[2021-02-04 09:25:59] Epoch: 54, LR: 0.01000000, Train IOU: 0.1451, Val IOU: 0.4450, Val DICE: 0.5631
