file_path,Alcantarillado,Marca vial,Hueco,Parcheo,Grietas longitudinales,Grietas en forma de piel de cocodrilo,Grietas transversales,Meteorización y desprendimiento,sum,correct
data/SIMEPU/v0/images/VIRB_0001-1 03686_cropped_BF_1_1.jpg,1,0,0,0,0,0,0,0,1,1
data/SIMEPU/v0/images/VIRB_0001-1 03687_cropped_BF_1_1.jpg,1,0,0,1,0,0,0,0,2,1
data/SIMEPU/v0/images/VIRB_0001-1 13617_cropped_BF_2_2.jpg,1,1,0,0,0,0,0,0,2,1
data/SIMEPU/v0/images/VIRB_0001-1 13617_cropped_BF_3_1.jpg,1,1,0,0,0,0,0,0,2,1
data/SIMEPU/v0/images/VIRB_0001-1 13636_cropped_BF_3_3.jpg,1,0,0,0,0,0,0,0,1,1
data/SIMEPU/v0/images/VIRB_0001-1 13637_cropped_BF_2_3.jpg,1,0,0,0,0,0,0,0,1,1
data/SIMEPU/v0/images/VIRB_0001-1 16064_cropped_BF_2_3.jpg,1,0,0,0,0,0,0,0,1,1
data/SIMEPU/v0/images/VIRB_0001-1 16064_cropped_BF_3_3.jpg,1,0,0,1,0,0,0,0,2,1
data/SIMEPU/v0/images/VIRB_0001-1 16095_cropped_BF_3_2.jpg,1,0,0,0,0,0,0,0,1,1
data/SIMEPU/v0/images/VIRB_0001-1 16096_cropped_BF_3_3.jpg,1,0,0,0,0,0,0,0,1,1
data/SIMEPU/v0/images/VIRB_0001-1 21285_cropped_BF_2_3.jpg,1,0,0,0,0,0,0,0,1,1
data/SIMEPU/v0/images/VIRB_0001-1 21285_cropped_BF_3_3.jpg,1,0,0,0,0,0,0,0,1,1
data/SIMEPU/v0/images/VIRB_0001-1 21396_cropped_BF_2_1.jpg,1,0,0,0,0,0,0,0,1,1
data/SIMEPU/v0/images/VIRB_0004-3 21007_cropped_BF_3_3.jpg,1,0,0,1,0,0,0,0,2,1
data/SIMEPU/v0/images/VIRB_0004-3 21008_cropped_BF_1_2.jpg,1,0,0,1,0,0,0,0,2,1
data/SIMEPU/v0/images/VIRB_0004-3 21104_cropped_BF_1_3.jpg,1,1,0,1,0,0,1,0,4,1
data/SIMEPU/v0/images/VIRB_0004-3 21104_cropped_BF_2_3.jpg,1,1,0,1,0,0,1,0,4,1
data/SIMEPU/v0/images/VIRB_0004-4 1506_cropped_BF_3_2.jpg,1,0,0,1,0,0,0,0,2,1
data/SIMEPU/v0/images/VIRB_0004-4 1735_cropped_BF_1_1.jpg,1,0,0,1,0,0,0,0,2,1
